design,seed,n,d,phi,dispersion,fit_end,val_end,test_end,ar_model,method,q_total,q_cov,n_active_mean,n_active_diag,n_active_offdiag,reference_condition,mean_dispersion,spectral_shell_low,spectral_shell_high,ridge,val_w2_mean,test_w2_mean,test_w2_median,test_w2_q90,test_mean_component,test_cov_component,n_test_pairs,min_pred_eig,w2_ratio_to_persistence,cov_ratio_to_persistence,mean_ratio_to_persistence
Baseline,3,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.1529079558414237,1.2329914499618624,1.1375175619301416,2.013767890939479,0.0014567288077799484,1.2315347211540826,112,0.1287319716524513,0.8986163758087976,0.8986882933762242,0.8416737316740359
Baseline,4,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.4876769312072753,1.6100640974080846,,,0.0016222210209448906,1.6084418763871398,112,0.049999999999997914,1.0,1.0,1.0
Baseline,4,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4400971197887267,1.5275807185044543,1.4143925021539352,2.4312334194224636,0.0013519654073170918,1.5262287530971375,112,0.03950849494979176,0.9487701272039952,0.9488864816957712,0.8334039504244719
Baseline,4,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4095304830112227,1.5833216098288196,1.4564924879452565,2.5256067428488405,0.0013519654073170918,1.5819696444215023,112,0.08965292025344918,0.9833904205290239,0.9835416918980628,0.8334039504244719
Baseline,4,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3925685048025476,1.5711893190152106,1.4371799603398918,2.5186385530145015,0.0013519654073170918,1.5698373536078936,112,0.09477618883873767,0.9758551361678982,0.9759988076995613,0.8334039504244719
Baseline,4,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.2966944359741077,1.4088611664714565,1.31479763305409,2.3894441418503365,0.0013519654073171302,1.4075092010641395,112,0.11764968401998226,0.8750342105879332,0.8750761974847779,0.8334039504244956
Baseline,5,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.4601706253817215,1.388569625173383,,,0.001661578880670515,1.3869080462927124,112,0.049999999999997824,1.0,1.0,1.0
Baseline,5,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4002806981498692,1.3600222070529995,1.3241601234411209,1.8822526104164938,0.0013911709249656528,1.3586310361280336,112,0.06734645713380988,0.9794411330891536,0.9796114744302876,0.8372584300086063
Baseline,5,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.49638412963723,1.4268862814105592,1.405217929046807,2.0357331484838466,0.0013911709249656528,1.4254951104855937,112,0.0705779471889309,1.027594335597246,1.0278223666637647,0.8372584300086063
Baseline,5,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4249182967732397,1.3131325359655845,1.2550924964612,1.9746629303824588,0.0013911709249656528,1.311741365040619,112,0.08825167962998426,0.9456728075854468,0.9458026929377052,0.8372584300086063
Baseline,5,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.292553324954831,1.2203356203433253,1.173981431056541,1.8531253237489966,0.0013911709249656036,1.21894444941836,112,0.123014804460606,0.8788436663310626,0.8788934873344134,0.8372584300085767
Baseline,6,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.332439350717224,1.4083694443939554,,,0.0017120384285118848,1.4066574059654435,112,0.04999999999999834,1.0,1.0,1.0
Baseline,6,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3118354535366006,1.3837310003446712,1.3041198354023622,2.063597107338076,0.001418247311463829,1.3823127530332073,112,0.19897884875888291,0.9825056954001963,0.9826932607548975,0.8283968910070431
Baseline,6,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4638949161793133,1.4516010266306105,1.3023462135757005,2.179501883574201,0.001418247311463829,1.450182779319147,112,0.09643098356552018,1.0306961943890074,1.030942412252705,0.8283968910070431
Baseline,6,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3174979859384355,1.3518672029631789,1.1961592176415645,2.0126985224401976,0.001418247311463829,1.3504489556517154,112,0.07857961946093261,0.9598810939447139,0.9600411229661496,0.8283968910070431
Baseline,6,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.2102049590769184,1.2648379194017811,1.1767769531828016,1.926190914924347,0.0014182473114638103,1.2634196720903172,112,0.11295767629161974,0.8980867374228371,0.898171556721861,0.8283968910070321
Baseline,7,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.607794913710844,1.597386186286425,,,0.0014522322520690034,1.5959339540343558,112,0.04999999999999812,1.0,1.0,1.0
Baseline,7,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5793929752201967,1.5587129586109967,1.5188083874950196,2.1603483365220333,0.001253048733533244,1.5574599098774635,112,0.17160782548198159,0.9757896819144686,0.9758924584193263,0.8628432068961549
Baseline,7,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.622180959534889,1.8392428815683404,1.7193160519670423,2.7128776250059903,0.001253048733533244,1.837989832834807,112,0.0847731784825594,1.1514077793825046,1.1516703609122163,0.8628432068961549
Baseline,7,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5215570589751852,1.7232941474024603,1.6733256712892515,2.515798778706794,0.001253048733533244,1.722041098668927,112,0.10634497227958095,1.078821240722473,1.0790177715786955,0.8628432068961549
Baseline,7,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4190349361881256,1.451476064324021,1.422069413773971,2.040048104085428,0.001253048733533249,1.4502230155904878,112,0.1493415857018498,0.9086569527049604,0.9086986412717608,0.8628432068961583
Baseline,8,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.3758971308409866,1.4258595041766742,,,0.0014434214293753747,1.4244160827472985,112,0.04999999999999517,1.0,1.0,1.0
Baseline,8,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4187273688595305,1.4326408021832842,1.4287197518755497,1.9851923320669667,0.0012909098800255368,1.4313498923032586,112,0.029470133731372083,1.0047559370237713,1.0048678259393047,0.8943402486300652
Baseline,8,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4044591276307834,1.4196393081614644,1.3889001261676106,2.1128144389795,0.0012909098800255368,1.418348398281439,112,0.08793935156864342,0.9956375814047672,0.9957402303025416,0.8943402486300652
Baseline,8,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.399245282616894,1.3718977336779383,1.314803473271229,2.044055137776806,0.0012909098800255368,1.3706068237979128,112,0.09008117651426789,0.9621549175492612,0.9622236370389734,0.8943402486300652
Baseline,8,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.270425487462499,1.2819023551762605,1.2503400516738348,1.8692526234615778,0.001290909880025597,1.2806114452962347,112,0.13109636193358162,0.8990383354189317,0.8990430961901912,0.8943402486301069
Baseline,9,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.6700905469852385,1.4575315590061921,,,0.001600554463040087,1.455931004543152,112,0.049999999999998,1.0,1.0,1.0
Baseline,9,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5705609376799536,1.4180911272078924,1.3730112725983008,2.1195591564133625,0.0013472266464828772,1.4167439005614095,112,0.2138187442427704,0.9729402553552996,0.9730845047880282,0.8417249631880442
Baseline,9,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5698934424537216,1.4578630609509797,1.3870551442906958,2.281251797222232,0.0013472266464828772,1.4565158343044973,112,0.08453895552498954,1.0002274406634555,1.0004016878269097,0.8417249631880442
Baseline,9,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5720253626034966,1.3995393129134144,1.2972915819331847,2.1267823954239353,0.0013472266464828772,1.3981920862669315,112,0.09348841586983617,0.9602120134315861,0.9603422702751371,0.8417249631880442
Baseline,9,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.446545118853893,1.2839446992637442,1.2225510621184394,1.9293201735902747,0.001347226646482886,1.2825974726172613,112,0.13549655680004072,0.8809035326406195,0.8809466029743078,0.8417249631880498
Baseline,10,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.5760637801334854,1.617403914530689,,,0.0014913203107116205,1.6159125942199777,112,0.04999999999999573,1.0,1.0,1.0
Baseline,10,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5131511152344717,1.5832252451077007,1.539030079688576,2.397143310561885,0.0012593960269523554,1.5819658490807487,112,0.1580391686759204,0.9788681917263037,0.9789922145166425,0.8444839233440087
Baseline,10,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5200219653564357,1.6295344863765762,1.567075060872463,2.527946189905889,0.0012593960269523554,1.628275090349624,112,0.08167436435597605,1.0075000262685818,1.00765047328294,0.8444839233440087
Baseline,10,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4797057169720986,1.5786681886074692,1.4323368454739518,2.416617450286562,0.0012593960269523554,1.5774087925805167,112,0.08884308882444354,0.9760506787604384,0.9761721012775154,0.8444839233440087
Baseline,10,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3808274856683997,1.4472636008748343,1.391428091021143,2.4060318271656875,0.001259396026952364,1.4460042048478823,112,0.11874945855142247,0.8948065402047557,0.8948529827789897,0.8444839233440146
Baseline,11,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.4397375093398794,1.5321250933914248,,,0.0015963042587668803,1.530528789132658,112,0.04999999999999871,1.0,1.0,1.0
Baseline,11,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4155927119470344,1.450448661483453,1.360369574022127,2.0976743026141587,0.0013897062869581496,1.4490589551964947,112,0.17217088058336386,0.94669075504326,0.9467701395003933,0.870577322165184
Baseline,11,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3456937981015238,1.4123816289875095,1.3437497814072323,2.148860083730461,0.0013897062869581496,1.4109919227005514,112,0.07540631642395383,0.9218448513633715,0.9218983221479633,0.870577322165184
Baseline,11,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.326606877751612,1.384854200064357,1.326967782959032,2.144384551074744,0.0013897062869581496,1.383464493777399,112,0.09098319377891355,0.9038780227787555,0.9039127545986251,0.870577322165184
Baseline,11,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.2659702444332672,1.3128691078604788,1.229904496954561,2.050140305034638,0.0013897062869581251,1.3114794015735207,112,0.11119873592356211,0.8568942010827502,0.8568799299206444,0.8705773221651687
Baseline,12,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.4811645298326568,1.4679451895635718,,,0.0017433532367685755,1.4662018363268032,112,0.04999999999999857,1.0,1.0,1.0
Baseline,12,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4306687684348505,1.4034659510013339,1.4113856629539674,1.873891664547814,0.0014288391636382142,1.4020371118376957,112,0.16078999408987898,0.9560751729556006,0.9562374545581965,0.8195924575140408
Baseline,12,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4896362022467073,1.4773805423569304,1.4241321877807227,2.1351539300818816,0.0014288391636382142,1.4759517031932923,112,0.07947972909784583,1.006427592024852,1.0066497440017637,0.8195924575140408
Baseline,12,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3815855879873542,1.4410746206420755,1.4296265489588953,2.1037151358158357,0.0014288391636382142,1.4396457814784376,112,0.09669824475492901,0.9816951142913687,0.9818878586901139,0.8195924575140408
Baseline,12,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.305583106659022,1.3052984976646287,1.2944803907327382,1.8791292040106462,0.0014288391636382435,1.3038696585009906,112,0.12622492102845298,0.8892011138731284,0.8892838804291129,0.8195924575140576
Baseline,13,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.6074005592889413,1.3733467039020104,,,0.001552717177275713,1.3717939867247348,112,0.04999999999999879,1.0,1.0,1.0
Baseline,13,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0001,1.5312521370140717,1.3861403111843102,1.3624863054840715,2.0805997793970246,0.0013234468959748302,1.3848168642883354,112,0.17483441430916807,1.0093156427622756,1.0094933187414632,0.8523425356167282
Baseline,13,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6038558242101302,1.4126453792383378,1.2548480441567078,2.2992438575344014,0.0013233857721799776,1.4113219934661578,112,0.09167608519060633,1.0286152616995186,1.0288148272437023,0.8523031699191322
Baseline,13,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5218499507011007,1.4127154188573934,1.2833530656726486,2.303593982773114,0.0013233857721799776,1.4113920330852132,112,0.0899233188882801,1.028666260925611,1.0288658841952076,0.8523031699191322
Baseline,13,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4196656446992033,1.2567457965701443,1.1952979637137062,2.032359880565232,0.0013233857721799568,1.2554224107979643,112,0.12908340240137625,0.915097253300587,0.9151683291711923,0.8523031699191189
Baseline,14,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.5915885650581787,1.5069113493430046,,,0.0015602621083826318,1.5053510872346219,112,0.04999999999999706,1.0,1.0,1.0
Baseline,14,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.555102238566806,1.472357930100183,1.474691849412583,2.186893182850392,0.0013943092454430917,1.4709636208547399,112,0.2103371061617856,0.9770700384877409,0.9771565140707124,0.8936378304337808
Baseline,14,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.493032982878839,1.4289717766309427,1.381300392186943,2.245486018310135,0.0013943092454430917,1.4275774673854993,112,0.08754686871970829,0.9482785946591731,0.9483352285665165,0.8936378304337808
Baseline,14,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5353967701260358,1.4229609298727663,1.3448972594563786,2.2275605808409047,0.0013943092454430917,1.421566620627323,112,0.10119472437035741,0.9442897423880711,0.9443422419409059,0.8936378304337808
Baseline,14,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4149431560289136,1.3200583454336972,1.2915385504464143,2.135667992815043,0.001394309245443155,1.318664036188254,112,0.12444459064737357,0.8760026566985688,0.8759843782427408,0.8936378304338214
Baseline,15,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.8427752823921546,1.3987953872673522,,,0.0016693578946661207,1.3971260293726857,112,0.04999999999999823,1.0,1.0,1.0
Baseline,15,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.7229503843079064,1.4815039601218452,1.359097653151316,2.3578006196045025,0.001408365381911079,1.4800955947399341,112,0.22574025498991948,1.0591284283658313,1.0593858847540776,0.8436569452308839
Baseline,15,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.8767469406845918,1.5684564893926933,1.3031866261739005,2.691148823290505,0.001408365381911079,1.5670481240107825,112,0.06708417824813939,1.1212908647466922,1.1216225960047372,0.8436569452308839
Baseline,15,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.7006900189671459,1.4095859705930553,1.2433521234765568,2.4473994335226883,0.001408365381911079,1.4081776052111443,112,0.0997379457120045,1.0077141971041121,1.0079102211297437,0.8436569452308839
Baseline,15,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5834452572941309,1.291026975134647,1.162110020071348,2.2249473724450013,0.0014083653819110687,1.2896186097527358,112,0.1473486178698416,0.9229562714363546,0.9230510223417561,0.8436569452308778
Baseline,16,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.7783372752537314,1.709812195157443,,,0.0015280091630467077,1.7082841859943962,112,0.04999999999999859,1.0,1.0,1.0
Baseline,16,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6682734734141362,1.6360845896196643,1.5352998900979982,2.459622004049349,0.0013734326108733703,1.634711157008791,112,0.15411750784318332,0.9568797054164245,0.9569316220399371,0.8988379416095083
Baseline,16,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6984298120994406,1.6567469139483162,1.5354654330908182,2.6174026970916504,0.0013734326108733703,1.655373481337443,112,0.07566919159992684,0.9689642632334597,0.9690269891328686,0.8988379416095083
Baseline,16,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6494436644494819,1.6922082384736143,1.517004177958024,2.66174230371853,0.0013734326108733703,1.690834805862741,112,0.09953544450328508,0.98970415772347,0.9897854348388188,0.8988379416095083
Baseline,16,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.517334547038923,1.5053559722331802,1.3530521904823005,2.400999861211532,0.0013734326108734158,1.5039825396223065,112,0.1398437818234313,0.880421824394909,0.8804053517283102,0.8988379416095381
Baseline,17,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.7047783835680912,1.5402233642717882,,,0.0015550818578313017,1.5386682824139568,112,0.04999999999999684,1.0,1.0,1.0
Baseline,17,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5683719477939353,1.4956437132698497,1.4205301805732056,2.237530559971299,0.0013252845775048162,1.494318428692345,112,0.1527060139921319,0.9710563727079834,0.9711764684899898,0.8522281774626591
Baseline,17,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6574454948973432,1.5496003990241896,1.4304815816233176,2.3165960706100917,0.0013252845775048162,1.5482751144466849,112,0.08089503122871833,1.0060881005767854,1.0062436017837817,0.8522281774626591
